Temp;GR;sqrtGR
0.7;0.00000;0.00000
3.4;0.00034;0.01850
7.6;0.00127;0.03560
9.6;0.00166;0.04070
11.2;0.00230;0.04800
12.8;0.00256;0.05060
14.1;0.00311;0.05580
15.4;0.00423;0.06500
16.9;0.00452;0.06720
18.2;0.00587;0.07660
19.5;0.00658;0.08110
20.7;0.00859;0.09270
21.8;0.00943;0.09710
23.2;0.01049;0.10240
24.4;0.01323;0.11500
25.6;0.01266;0.11250
27.0;0.01442;0.12010
28.2;0.01538;0.12400
29.6;0.01758;0.13260
31.0;0.02042;0.14290
32.5;0.02014;0.14190
33.9;0.02019;0.14210
35.3;0.01954;0.13980
37.2;0.02065;0.14370
38.5;0.02062;0.14360
40.7;0.01929;0.13890
42.3;0.01360;0.11660
44.0;0.00292;0.05400
